d,res,nq,all,init,qse,smt
3,true,9,0.06547904014587402,0.0003590583801269531,0.06511998176574707,0.024456024169921875
5,true,25,0.06073808670043945,0.0007948875427246094,0.059943199157714844,0.01581597328186035
7,true,49,0.05993795394897461,0.0003421306610107422,0.05959582328796387,0.013605117797851562
9,true,81,0.05452394485473633,0.0003800392150878906,0.05414390563964844,0.013888120651245117
11,true,121,0.058088064193725586,0.00035500526428222656,0.05773305892944336,0.01389002799987793
13,true,169,0.05625200271606445,0.0003859996795654297,0.05586600303649902,0.01351308822631836
15,true,225,0.05447888374328613,0.00035190582275390625,0.05412697792053223,0.01323699951171875
17,true,289,0.05611300468444824,0.00029921531677246094,0.05581378936767578,0.01409006118774414
19,true,361,0.05477404594421387,0.0003199577331542969,0.05445408821105957,0.013546943664550781
21,true,441,0.06076478958129883,0.00034499168395996094,0.06041979789733887,0.01958012580871582
23,true,529,0.05577492713928223,0.0003020763397216797,0.05547285079956055,0.02175116539001465
25,true,625,0.055281877517700195,0.00028586387634277344,0.05499601364135742,0.014347076416015625
27,true,729,0.05562400817871094,0.0002689361572265625,0.055355072021484375,0.015382051467895508
29,true,841,0.0635538101196289,0.0003349781036376953,0.06321883201599121,0.018731117248535156
